x1,x2,x3,x4,x5,label
3.145554339,2.975352793,2.54032361,1.71629034,4.987363644,1
2.185021533,8.970525253,-1.940870676,4.115331988,7.745951187,0
-9.314655367,3.230908892,4.777732756,-2.272675395,-7.169193879,0
2.019963057,-2.864169756,3.149747389,0.232008966,-0.881272385,1
-3.087971789,4.689669298,7.1064569,8.647758551,-7.37606377,0
-7.092428509,5.175759904,1.484387211,-9.806627121,6.242903082,0
8.705515016,-5.737901404,5.38169739,7.627549166,6.122362737,1
7.565967096,-9.675927804,2.23075131,7.047557129,-5.149268908,1
-0.669974888,7.106915564,9.602435877,3.365334974,-1.334027084,0
6.993873435,-7.357141681,1.946010604,5.322206215,-7.5524147,1
4.62768955,-2.438954076,-8.65740055,-3.962778925,7.054072698,1
5.608631206,-7.703306385,-6.200058993,-5.154901995,7.582045762,1
-7.929141646,8.405061897,8.675688884,-9.370125515,-8.331564554,0
-3.75929904,9.163987886,-6.663821288,-1.407229096,3.344405048,0
0.424937663,-9.418685305,0.592272502,-2.295598196,8.57742706,1
-0.776254731,-4.659062067,-7.667133551,-4.649096551,-0.073807275,1
-1.126797873,9.599928777,6.716606252,-0.810994356,-1.388252407,0
-8.914100513,-3.831797401,-9.705713555,-6.794025005,-5.53095148,0
-3.20498517,8.242649299,9.421296711,1.26290843,5.753644522,0
-1.907985089,4.561885961,4.787804977,5.780905031,5.088912475,0
5.324459374,-8.774598092,4.315623863,-8.777657339,4.282366365,1
1.849587526,-8.966131239,2.568327573,0.708874702,-8.425954481,1
-3.880288292,-0.678161523,-7.807992789,-4.845822408,1.147070771,0
-5.375459345,-7.715139825,-0.74864296,-6.027370898,1.091433401,1
-1.931268053,-6.866040282,1.389281309,-3.249948874,7.611314245,1
-9.486958138,7.853092766,-5.232211558,6.092167403,-7.952124675,0
5.946334662,-8.069013479,-7.49985875,5.583963664,0.343154584,1
-2.509947753,7.443321499,1.451165909,-3.801249594,3.675044453,0
7.702519278,-5.563098382,3.425366849,-8.493658991,6.8402111,1
-8.201133827,8.864606772,5.054820894,6.153495016,4.751613727,0
1.215560345,-2.205875708,8.195959528,7.773805453,8.12157933,1
-0.261001934,5.195389478,6.8204721,0.415283308,2.320401552,0
0.688011062,9.881047883,4.756784997,-8.819312007,-9.716074325,0
7.918317876,1.67814849,8.749894872,4.669684241,-7.160074076,1
7.010753142,0.165693032,0.779102719,-0.223813124,-3.481485236,1
9.189372581,-3.29992703,3.504285537,4.933052112,-7.548714099,1
6.108104899,-3.558557326,9.239359231,-2.678831264,3.279619568,1
-2.990234638,-9.422348819,-0.593039612,-6.517663533,-3.635918257,1
-2.166866989,-0.205561539,-7.47190604,-9.071901781,-8.621565631,0
-5.019087808,0.466628154,-4.771070034,-0.251638081,-1.577101163,0
1.666874539,-3.413475338,-2.998719973,2.974186826,-9.152220767,1
7.932816264,-0.883085738,6.326328671,-6.390773157,-1.548701757,1
